concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,embedding_similarity,keyword_overlap,suggested_label,reason
and properties (without proof),Cayley-Hamilton,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.1786,0.0,0,No signal: sim=0.179 delta=1 kw=0.000
and properties (without proof),Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.1561,0.0714,0,No signal: sim=0.156 delta=2 kw=0.071
and properties (without proof),Similarity of matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.1404,0.0,0,Low sim=0.140
and properties (without proof),diagonalizable and non,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.2439,0.1667,0,No signal: sim=0.244 delta=4 kw=0.167
and properties (without proof),diagonalizable matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.1789,0.0,0,No signal: sim=0.179 delta=5 kw=0.000
and properties (without proof),Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.1701,0.0,0,No signal: sim=0.170 delta=6 kw=0.000
and properties (without proof),Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.0147,0.125,0,Low sim=0.015
and properties (without proof),Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.1339,0.0,0,Low sim=0.134
and properties (without proof),Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.0815,0.125,0,Low sim=0.082
and properties (without proof),Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.217,0.1429,0,No signal: sim=0.217 delta=10 kw=0.143
and properties (without proof),slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,-0.0195,0.0,0,Low sim=-0.020
and properties (without proof),surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.0156,0.0,0,Low sim=0.016
and properties (without proof),Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.0078,0.0,0,Low sim=0.008
and properties (without proof),NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.0883,0.0909,0,Low sim=0.088
Cayley-Hamilton,Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.318,0.0,1,Adjacent topics: delta=1 + sim=0.318
Cayley-Hamilton,Similarity of matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.2718,0.0,1,Adjacent topics: delta=2 + sim=0.272
Cayley-Hamilton,diagonalizable and non,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.3863,0.0,0,No signal: sim=0.386 delta=3 kw=0.000
Cayley-Hamilton,diagonalizable matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.41,0.0,0,No signal: sim=0.410 delta=4 kw=0.000
Cayley-Hamilton,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.1908,0.0,0,No signal: sim=0.191 delta=5 kw=0.000
Cayley-Hamilton,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,-0.0703,0.0,0,Low sim=-0.070
Cayley-Hamilton,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.0693,0.0,0,Low sim=0.069
Cayley-Hamilton,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.1027,0.0,0,Low sim=0.103
Cayley-Hamilton,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.0012,0.0,0,Low sim=0.001
Cayley-Hamilton,slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,-0.0302,0.0,0,Low sim=-0.030
Cayley-Hamilton,surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,-0.0112,0.0,0,Low sim=-0.011
Cayley-Hamilton,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.0414,0.0,0,Low sim=0.041
Cayley-Hamilton,NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.0359,0.0,0,Low sim=0.036
Cayley-Hamilton,three variables) using the method of Lagrange’s,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.0611,0.0,0,Low sim=0.061
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Similarity of matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.378,0.1667,1,Foundational kw + sim=0.378 + delta=1
