concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label,flag_reason,all_flag_reasons
Hal Frange Sine and Cosine Series,Rank correlation coefficient (R) (with repeated and non,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0673,14,1,0.0769,0,truncated_fragment,truncated_fragment; subject_mismatch
pattern matching,Simple List Comprehension,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2789,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Event listeners for button presses,b. Traffic Light Simulation (JavaScript + HTML/CSS),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1305,2,1,0.0,0,lab_or_project_course,lab_or_project_course
Self- learning Topics: Different feature engineering,techniques to improve model performance,2166120,Visualization Lab,SEM-V.pdf,0.2085,1,1,0.0,1,lab_or_project_course,lab_or_project_course
"Expectation of random variable with mean, variance and","standard deviation, moment generating function up to",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5257,1,1,0.0,1,truncated_fragment,truncated_fragment
R for data analytics,Importance of data cleaning and preparation Handling,2166120,Visualization Lab,SEM-V.pdf,0.262,4,1,0.1,0,lab_or_project_course,lab_or_project_course
as edge nodes,IoT data processing,2166124,Edge Computing,SEM-V.pdf,0.2452,2,1,0.0,1,truncated_fragment,truncated_fragment
via Python tutorials. Read “Practical Statistics,for Data Scientists”,2165111,Statistics for,SEM-V.pdf,0.3192,1,1,0.0,1,publisher_citation,publisher_citation; truncated_fragment
"Dirichlet’s conditions, Definition of Fourier series and","Analytic function, necessary and sufficient conditions for",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3389,8,1,0.1538,1,publisher_citation,publisher_citation; truncated_fragment
Regression Model Evaluation,Concept of dependent and independent variables. The,2166120,Visualization Lab,SEM-V.pdf,0.2411,1,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
"Robert C. Martin, “Agile Software Development, Principles, Patterns and Practices”",Online References,2165113,Agile Software,SEM-V.pdf,0.1701,11,1,0.0,0,publisher_citation,publisher_citation; person_name
CSS3 Fundamentals: Explore CSS syntax,embedded server,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0032,12,1,0.0,0,lab_or_project_course,lab_or_project_course
Explain the physical and logical design of IoT with suitable examples. Illustrate the,Compare various IoT communication models and APIs. Discuss their significance in,2166121,Internet of Things,SEM-V.pdf,0.6,3,1,0.0952,1,truncated_fragment,truncated_fragment
regression. Estimation of coefficients using Least Squares,Introduction to logistic regression for classification Logit,2166120,Visualization Lab,SEM-V.pdf,0.1353,4,1,0.0769,0,subject_mismatch,subject_mismatch; lab_or_project_course
Functional Programming,Read weather data and apply pure functions for analysis,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.25,2,1,0.0,1,subject_mismatch,subject_mismatch; lab_or_project_course
Rank correlation coefficient (R) (with repeated and non,degree curves,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1398,2,1,0.0,0,truncated_fragment,truncated_fragment; subject_mismatch
design by Don Norman,User Experience,2165115,User Experience,SEM-V.pdf,0.2548,5,1,0.0,1,publisher_citation,publisher_citation
Q3: Give one example of a real,A (Very Good),2166126,Blockchain,SEM-V.pdf,0.2233,7,1,0.1111,0,admin_rubric_noise,admin_rubric_noise
and NSGA-III mechanisms,energy optimization,2166115,Nature-,SEM-V.pdf,-0.0123,3,1,0.0,0,person_name,person_name; truncated_fragment
AODV AND DSR routing protocol,Transport layer protocols on Simulator,2165116,Computer,SEM-V.pdf,0.3025,2,1,0.0,1,tool_fragment,tool_fragment; subject_mismatch
Self-Learning: Overview of Progressive Web,React DevTools,2165114,Web and,SEM-V.pdf,0.028,3,1,0.0,0,admin_rubric_noise,admin_rubric_noise; tool_fragment
learning Topics: Continuous Testing,"based DevOps tools, and real",2165113,Agile Software,SEM-V.pdf,0.2322,12,1,0.0,0,truncated_fragment,truncated_fragment
+ 5 Marks (Attendance),Cloud Data Logging using Raspberry Pi and ThingSpeak,2166121,Internet of Things,SEM-V.pdf,-0.0497,12,1,0.0,0,admin_rubric_noise,admin_rubric_noise; tool_fragment
"study topics. However, students are",encouraged to explore these topics for a better understanding of the subject,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.607,1,1,0.0625,1,admin_rubric_noise,admin_rubric_noise
The programs must be based on creating a,Concurrency and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1867,4,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
"to students for C, C++, JAVA along with how to",At least Two Program preferably in Java/C++ to,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.6107,13,1,0.2143,0,truncated_fragment,truncated_fragment; lab_or_project_course
Implement graph coloring,Implementation of Ford-Fulkerson algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1492,2,1,0.0,0,lab_or_project_course,lab_or_project_course
Internal Assessment (IA) for 20 marks,IA will consist of Two Compulsory Internal Assessment Tests. Each test will be,2165113,Agile Software,SEM-V.pdf,0.7596,1,1,0.2,1,admin_rubric_noise,admin_rubric_noise
Search and Display operations,distinct numbers using backtracking,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1698,11,1,0.0,0,lab_or_project_course,lab_or_project_course
"launching an ICO, pros and cons, evolution and","Metaverse, Cryptocurrency wallets: Hot and cold",2166118,Blockchain,SEM-V.pdf,0.2712,2,1,0.0833,1,truncated_fragment,truncated_fragment; person_name
"First International Edition, Prentice Hall","Engineering: Applying the Theory of Constraints for Business Results‖, Prentice Hall, 2003",2165113,Agile Software,SEM-V.pdf,0.2318,6,1,0.1333,0,publisher_citation,publisher_citation
Fetch API,Axios for API calls,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4458,1,1,0.2,1,subject_mismatch,subject_mismatch; lab_or_project_course
Bootstrap Introduction & Components: Get started with Bootstrap,Back-end development with Java Spring Boot introduction- What is Spring Framework? Why Spring Boot?,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4165,6,1,0.125,1,lab_or_project_course,lab_or_project_course
Implement at least,"students, as it is a group activity",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2032,14,1,0.0,0,lab_or_project_course,lab_or_project_course
Prolog programs to,The programs must be based on creating a,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4312,2,1,0.1,1,truncated_fragment,truncated_fragment; lab_or_project_course
integers and perform Pre-order,Implementation of operations on B/B+-trees,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2518,6,1,0.0,0,person_name,person_name; lab_or_project_course
R for data analytics,Python Libraries: NumPy,2166120,Visualization Lab,SEM-V.pdf,0.0801,1,1,0.0,0,lab_or_project_course,lab_or_project_course
Introduction to Full Stack Java Overview of full-stack development: Definition of Full Stack,Full Stack Developer Roles & Skills,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4886,2,1,0.1667,1,lab_or_project_course,lab_or_project_course
"Harmonic function, Harmonic conjugate, and orthogonal",Riemann equations in,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2397,2,1,0.0,1,person_name,person_name; truncated_fragment
Order Functions,Students should clearly understand the syntax and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0959,6,1,0.0,0,person_name,person_name; admin_rubric_noise; truncated_fragment; lab_or_project_course
Collection of Dataset,Cost effectiveness,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0126,1,1,0.0,0,lab_or_project_course,lab_or_project_course
MVC Architecture- Model: Business logic,and hyperlinks. Responsive Web Design: Learn to build websites,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1707,10,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Dr. Abhishek Kumar,TCP/IP Protocol Suite 4th Edition by Behrouz A. Forouzan,2344115,Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1462,5,1,0.0,0,publisher_citation,publisher_citation; person_name
consensus mechanisms,"Q3: What is a 51% attack, and how can it affect blockchain security?",2166126,Blockchain,SEM-V.pdf,0.2263,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise
"Roger Pressman, Software Engineering: A Practitioner's Approach, 6th edition, McGraw","Sricharan Vadapalli , DevOps: Continuous Delivery, Integration, and Deployment with",2165113,Agile Software,SEM-V.pdf,0.2994,11,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment
