concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,embedding_similarity,keyword_overlap,suggested_label,reason
Cayley-Hamilton,Similarity of matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.2718,0.0,1,Adjacent topics: delta=2 + sim=0.272
Cayley-Hamilton,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.1908,0.0,0,No signal: sim=0.191 delta=5 kw=0.000
Cayley-Hamilton,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,-0.0703,0.0,0,Low sim=-0.070
Cayley-Hamilton,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.0693,0.0,0,Low sim=0.069
Cayley-Hamilton,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.0414,0.0,0,Low sim=0.041
Similarity of matrices,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.1835,0.0,0,No signal: sim=0.184 delta=3 kw=0.000
Similarity of matrices,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.0555,0.0,0,Low sim=0.056
Similarity of matrices,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.0718,0.2,0,Low sim=0.072
Similarity of matrices,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.0153,0.0,0,Low sim=0.015
Similarity of matrices,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,-0.0045,0.0,0,Low sim=-0.004
Similarity of matrices,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.0595,0.0,0,Low sim=0.060
Quadratic forms,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.161,0.0,0,No signal: sim=0.161 delta=1 kw=0.000
Quadratic forms,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.2615,0.0,1,Adjacent topics: delta=2 + sim=0.262
Quadratic forms,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.1793,0.0,0,No signal: sim=0.179 delta=7 kw=0.000
Quadratic forms,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.1713,0.0,0,No signal: sim=0.171 delta=10 kw=0.000
Quadratic forms,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.2002,0.0,0,No signal: sim=0.200 delta=11 kw=0.000
Quadratic forms,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.1974,0.0,0,Far apart: delta=12 + sim=0.197
Quadratic forms,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.2168,0.0,0,Far apart: delta=13 + sim=0.217
Quadratic forms,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.2821,0.0,0,Far apart: delta=14 + sim=0.282
Linear and Non-Linear Programming Problems,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.2528,0.0,1,Adjacent topics: delta=1 + sim=0.253
Linear and Non-Linear Programming Problems,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.2234,0.0,0,No signal: sim=0.223 delta=6 kw=0.000
Linear and Non-Linear Programming Problems,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.3948,0.0,0,No signal: sim=0.395 delta=9 kw=0.000
Linear and Non-Linear Programming Problems,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.2473,0.0,0,No signal: sim=0.247 delta=10 kw=0.000
Linear and Non-Linear Programming Problems,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,-0.022,0.0,0,Low sim=-0.022
Linear and Non-Linear Programming Problems,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,-0.0405,0.0,0,Low sim=-0.041
Linear and Non-Linear Programming Problems,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.1338,0.1667,0,Low sim=0.134
Types of solutions,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.1297,0.0,0,Low sim=0.130
Types of solutions,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.2761,0.0,1,Foundational kw + sim=0.276 + delta=8
Types of solutions,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.1889,0.0,0,No signal: sim=0.189 delta=9 kw=0.000
Types of solutions,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.0625,0.0,0,Low sim=0.062
Types of solutions,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.0776,0.0,0,Low sim=0.078
Types of solutions,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.1037,0.0,0,Low sim=0.104
Simplex method,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.267,0.0,0,No signal: sim=0.267 delta=3 kw=0.000
Simplex method,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.0561,0.0,0,Low sim=0.056
Simplex method,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.0886,0.0,0,Low sim=0.089
Simplex method,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.0279,0.0,0,Low sim=0.028
Simplex method,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.1412,0.0,0,Low sim=0.141
Simplex method,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.155,0.0,0,No signal: sim=0.155 delta=10 kw=0.000
Simplex method,Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.1043,0.0,0,Low sim=0.104
Artificial variables,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.208,0.0,1,Adjacent topics: delta=1 + sim=0.208
Artificial variables,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.0752,0.0,0,Low sim=0.075
Artificial variables,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.0703,0.0,0,Low sim=0.070
Artificial variables,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.0242,0.0,0,Low sim=0.024
Artificial variables,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.1005,0.0,0,Low sim=0.101
Artificial variables,Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.0404,0.0,0,Low sim=0.040
Artificial variables,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,-0.0434,0.0,0,Low sim=-0.043
Kuhn-Tucker conditions,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.0065,0.0,0,Low sim=0.007
Kuhn-Tucker conditions,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.0039,0.0,0,Low sim=0.004
Kuhn-Tucker conditions,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,-0.0388,0.0,0,Low sim=-0.039
