concept_a,concept_b,source_syllabus,order_delta,ai_suggested_label,reason,embedding_similarity,keyword_overlap
Properties of Eigen,Similarity of matrices,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.341,0.3413,0.2
Properties of Eigen,Diagonalization of matrices,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,1,Adjacent same-course topics: delta=2 + sim=0.505,0.5046,0.2
Properties of Eigen,Applying to chemical engineering problems related,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,0.0755,0.0
Properties of Eigen,Eulers method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,0.0025,0.0
Properties of Eigen,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,0.0783,0.0
Properties of Eigen,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,0.0695,0.125
Properties of Eigen,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,0.0263,0.0
Properties of Eigen,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,-0.0166,0.0
Properties of Eigen,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,0.1639,0.0
Properties of Eigen,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,10,0,Insufficient signal,0.2273,0.0
Properties of Eigen,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,11,0,Insufficient signal,0.2857,0.0
Similarity of matrices,Diagonalization of matrices,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,kw_overlap=0.500>=0.30 + delta=1<=6,0.5227,0.5
Similarity of matrices,Applying to chemical engineering problems related,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,0.0178,0.0
Similarity of matrices,Eulers method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,-0.0183,0.0
Similarity of matrices,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,0.0057,0.0
Similarity of matrices,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,0.0246,0.125
Similarity of matrices,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,0.0368,0.0
Similarity of matrices,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,-0.0119,0.0
Similarity of matrices,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,0.1259,0.0
Similarity of matrices,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,0.0607,0.0
Similarity of matrices,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,10,0,Insufficient signal,0.1578,0.0
Diagonalization of matrices,Applying to chemical engineering problems related,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,0.012,0.0
Diagonalization of matrices,Eulers method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,0.0375,0.0
Diagonalization of matrices,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,0.1198,0.0
Diagonalization of matrices,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,0.0885,0.125
Diagonalization of matrices,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,0.068,0.0
Diagonalization of matrices,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,0.0424,0.0
Diagonalization of matrices,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,0.1485,0.0
Diagonalization of matrices,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,0.113,0.0
Diagonalization of matrices,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,0.0144,0.0
Applying to chemical engineering problems related,Eulers method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,0.1601,0.0
Applying to chemical engineering problems related,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,0.182,0.0
Applying to chemical engineering problems related,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,0.1858,0.0
Applying to chemical engineering problems related,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,0.0921,0.0
Applying to chemical engineering problems related,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,1,High sim=0.646 + delta=5,0.6458,0.375
Applying to chemical engineering problems related,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,0.0393,0.0
Applying to chemical engineering problems related,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,0.0049,0.0
Applying to chemical engineering problems related,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,0.0988,0.0
Eulers method,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.471,0.4711,0.2
Eulers method,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,1,Adjacent same-course topics: delta=2 + sim=0.410,0.4099,0.0
Eulers method,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,0.2555,0.1667
Eulers method,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,0.3499,0.1667
Eulers method,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,0.1891,0.0
Eulers method,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,0.2119,0.0
Eulers method,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,0.1773,0.0
