concept_a,concept_b,Course_Code,course_name,source_syllabus,ai_suggested_label,confirmed_label,reason,embedding_similarity,order_delta,keyword_overlap
Artificial variables,Lines of regression,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.342, delta=9, kw=0.000",0.3424,9,0.0
"Pre-Requisite Topics Basic Concepts: HTML5, CSS3; JavaScript, Client-Server paradigm, Front-end and Back-end development",Low-code/No-code development,2165114,Web and Mobile Application,SEM-V.pdf,0,,"No prereq signal: sim=0.234, delta=3, kw=0.053",0.2339,3,0.05263157894736842
Diagonalization of matrices,Corrector Method to chemical engineering,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.042 - no semantic relation,0.0424,6,0.0
Testing: Principles of Agile Testers,Source Tools in DevOps,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.201, delta=9, kw=0.000",0.2008,9,0.0
Fourier series of even and odd functions,Complex form of Fourier Series,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,,High sim=0.631 + delta=1,0.6314,1,0.3333333333333333
Introduction to Congruence,Complex form of Fourier Series,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.092 - no semantic relation,0.0916,6,0.0
"Triggers, Introduction to Pl/SQL Block Structure","Concurrent Executions, Serializability",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.233,0.2327,2,0.0
Quadratic forms,Fourier series of periodic,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.033 - no semantic relation,0.0328,12,0.0
Similarity of matrices,Quadratic forms,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.184, delta=1, kw=0.000",0.1835,1,0.0
Dirichlet’s conditions,Lines of regression,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.001 - no semantic relation,0.0011,4,0.0
Quadratic forms,Basic and Feasible solutions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.226, delta=4, kw=0.000",0.226,4,0.0
Kuhn-Tucker conditions,Dirichlet’s conditions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.417, delta=4, kw=0.200",0.4166,4,0.2
Types of solutions,Artificial variables,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.276 + delta=4,0.2761,4,0.0
Basic and Feasible solutions,Application of congruence-RSA algorithm,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.154, delta=6, kw=0.000",0.1536,6,0.0
"Overview of SQL, Data Definition Commands","Concurrent Executions, Serializability",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,Low sim=0.117 - no semantic relation,0.1166,4,0.0
Linear and Non-Linear Programming Problems,Fourier series of periodic,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=-0.127 - no semantic relation,-0.127,11,0.0
Pumping lemma,RE in text search and replace,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.168, delta=1, kw=0.000",0.1683,1,0.0
Standard and Canonical of LPP,Raw moments,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.049 - no semantic relation,0.0491,14,0.0
Artificial variables,Fourier series of periodic,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=-0.056 - no semantic relation,-0.0556,6,0.0
Complex form of Fourier Series,Moment generating function,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.259,0.2589,2,0.0
Similarity of matrices,Linear congruence,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.167, delta=10, kw=0.000",0.1671,10,0.0
Custom Hooks creation,Low-code/No-code development,2165114,Web and Mobile Application,SEM-V.pdf,0,,"No prereq signal: sim=0.155, delta=1, kw=0.000",0.1549,1,0.0
Size reduction equipment – Jaw crusher,Gas solid separation equipment: Cyclone,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.279, delta=10, kw=0.111",0.279,10,0.1111111111111111
